hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,32,STATIC,211.5857
ARCHER2,AOCC 2.1,32,STATIC 1,194.9435
ARCHER2,AOCC 2.1,32,STATIC 2,178.7822
ARCHER2,AOCC 2.1,32,STATIC 4,100.5554
ARCHER2,AOCC 2.1,32,STATIC 8,66.5424
ARCHER2,AOCC 2.1,32,STATIC 16,31.5474
ARCHER2,AOCC 2.1,32,STATIC 32,22.3320
ARCHER2,AOCC 2.1,32,STATIC 64,21.6941
ARCHER2,AOCC 2.1,32,STATIC 128,21.0987
ARCHER2,AOCC 2.1,32,DYNAMIC 1,300.1573
ARCHER2,AOCC 2.1,32,DYNAMIC 2,116.4924
ARCHER2,AOCC 2.1,32,DYNAMIC 4,35.2553
ARCHER2,AOCC 2.1,32,DYNAMIC 8,-1.8621
ARCHER2,AOCC 2.1,32,DYNAMIC 16,-16.7463
ARCHER2,AOCC 2.1,32,DYNAMIC 32,-18.5810
ARCHER2,AOCC 2.1,32,DYNAMIC 64,-18.9728
ARCHER2,AOCC 2.1,32,DYNAMIC 128,-19.7357
ARCHER2,AOCC 2.1,32,GUIDED 1,3.7957
ARCHER2,AOCC 2.1,32,GUIDED 2,-1.0389
ARCHER2,AOCC 2.1,32,GUIDED 4,-4.7071
