hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,2,STATIC,0.1846
ARCHER2,Cray 10.0,2,STATIC 1,0.2713
ARCHER2,Cray 10.0,2,STATIC 2,0.1757
ARCHER2,Cray 10.0,2,STATIC 4,0.1148
ARCHER2,Cray 10.0,2,STATIC 8,0.1319
ARCHER2,Cray 10.0,2,STATIC 16,0.1359
ARCHER2,Cray 10.0,2,STATIC 32,0.1157
ARCHER2,Cray 10.0,2,STATIC 64,0.1149
ARCHER2,Cray 10.0,2,STATIC 128,0.1065
ARCHER2,Cray 10.0,2,DYNAMIC 1,14.8315
ARCHER2,Cray 10.0,2,DYNAMIC 2,7.0076
ARCHER2,Cray 10.0,2,DYNAMIC 4,3.6825
ARCHER2,Cray 10.0,2,DYNAMIC 8,2.0604
ARCHER2,Cray 10.0,2,DYNAMIC 16,1.2013
ARCHER2,Cray 10.0,2,DYNAMIC 32,0.7664
ARCHER2,Cray 10.0,2,DYNAMIC 64,0.5303
ARCHER2,Cray 10.0,2,DYNAMIC 128,0.3817
ARCHER2,Cray 10.0,2,GUIDED 1,1.2588
ARCHER2,Cray 10.0,2,GUIDED 2,1.1218
ARCHER2,Cray 10.0,2,GUIDED 4,0.9935
ARCHER2,Cray 10.0,2,GUIDED 8,0.9165
ARCHER2,Cray 10.0,2,GUIDED 16,1.3070
ARCHER2,Cray 10.0,2,GUIDED 32,0.6611
ARCHER2,Cray 10.0,2,GUIDED 64,0.5270
