hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,2,STATIC,0.1492
ARCHER2,GNU 10.1,2,STATIC 1,0.1832
ARCHER2,GNU 10.1,2,STATIC 2,0.7430
ARCHER2,GNU 10.1,2,STATIC 4,0.4942
ARCHER2,GNU 10.1,2,STATIC 8,0.2873
ARCHER2,GNU 10.1,2,STATIC 16,0.2218
ARCHER2,GNU 10.1,2,STATIC 32,0.1990
ARCHER2,GNU 10.1,2,STATIC 64,0.1669
ARCHER2,GNU 10.1,2,STATIC 128,0.1499
ARCHER2,GNU 10.1,2,DYNAMIC 1,7.7168
ARCHER2,GNU 10.1,2,DYNAMIC 2,4.8520
ARCHER2,GNU 10.1,2,DYNAMIC 4,3.5648
ARCHER2,GNU 10.1,2,DYNAMIC 8,2.4949
ARCHER2,GNU 10.1,2,DYNAMIC 16,1.6221
ARCHER2,GNU 10.1,2,DYNAMIC 32,1.1802
ARCHER2,GNU 10.1,2,DYNAMIC 64,0.9918
ARCHER2,GNU 10.1,2,DYNAMIC 128,0.7247
ARCHER2,GNU 10.1,2,GUIDED 1,0.9955
ARCHER2,GNU 10.1,2,GUIDED 2,0.9345
ARCHER2,GNU 10.1,2,GUIDED 4,0.9218
ARCHER2,GNU 10.1,2,GUIDED 8,0.8958
ARCHER2,GNU 10.1,2,GUIDED 16,0.8448
ARCHER2,GNU 10.1,2,GUIDED 32,0.8105
ARCHER2,GNU 10.1,2,GUIDED 64,0.7260
