hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,GNU 6.3,8,STATIC,0.5120
Cirrus,GNU 6.3,8,STATIC 1,0.4486
Cirrus,GNU 6.3,8,STATIC 2,0.5740
Cirrus,GNU 6.3,8,STATIC 4,0.7990
Cirrus,GNU 6.3,8,STATIC 8,0.7234
Cirrus,GNU 6.3,8,STATIC 16,0.6586
Cirrus,GNU 6.3,8,STATIC 32,0.7187
Cirrus,GNU 6.3,8,STATIC 64,0.7515
Cirrus,GNU 6.3,8,STATIC 128,0.7955
Cirrus,GNU 6.3,8,DYNAMIC 1,71.5937
Cirrus,GNU 6.3,8,DYNAMIC 2,22.8067
Cirrus,GNU 6.3,8,DYNAMIC 4,7.1087
Cirrus,GNU 6.3,8,DYNAMIC 8,4.7159
Cirrus,GNU 6.3,8,DYNAMIC 16,3.7255
Cirrus,GNU 6.3,8,DYNAMIC 32,3.2617
Cirrus,GNU 6.3,8,DYNAMIC 64,3.0491
Cirrus,GNU 6.3,8,DYNAMIC 128,2.9870
Cirrus,GNU 6.3,8,GUIDED 1,7.2500
Cirrus,GNU 6.3,8,GUIDED 2,6.7986
Cirrus,GNU 6.3,8,GUIDED 4,5.3974
Cirrus,GNU 6.3,8,GUIDED 8,4.4999
Cirrus,GNU 6.3,8,GUIDED 16,4.1803
