hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,Intel 18.0,1,STATIC,0.0317
Cirrus,Intel 18.0,1,STATIC 1,0.0361
Cirrus,Intel 18.0,1,STATIC 2,0.0354
Cirrus,Intel 18.0,1,STATIC 4,0.0346
Cirrus,Intel 18.0,1,STATIC 8,0.0348
Cirrus,Intel 18.0,1,STATIC 16,0.0346
Cirrus,Intel 18.0,1,STATIC 32,0.0355
Cirrus,Intel 18.0,1,STATIC 64,0.0350
Cirrus,Intel 18.0,1,STATIC 128,0.0348
Cirrus,Intel 18.0,1,DYNAMIC 1,0.0859
Cirrus,Intel 18.0,1,DYNAMIC 2,0.0896
Cirrus,Intel 18.0,1,DYNAMIC 4,0.0869
Cirrus,Intel 18.0,1,DYNAMIC 8,0.0881
Cirrus,Intel 18.0,1,DYNAMIC 16,0.0850
Cirrus,Intel 18.0,1,DYNAMIC 32,0.0820
Cirrus,Intel 18.0,1,DYNAMIC 64,0.0833
Cirrus,Intel 18.0,1,DYNAMIC 128,0.0836
Cirrus,Intel 18.0,1,GUIDED 1,0.0914
Cirrus,Intel 18.0,1,GUIDED 2,0.0893
Cirrus,Intel 18.0,1,GUIDED 4,0.0902
Cirrus,Intel 18.0,1,GUIDED 8,0.0855
Cirrus,Intel 18.0,1,GUIDED 16,0.0870
Cirrus,Intel 18.0,1,GUIDED 32,0.0859
Cirrus,Intel 18.0,1,GUIDED 64,0.0886
Cirrus,Intel 18.0,1,GUIDED 128,0.0892
