hardware_platform,compiler,threads_num,directive_name,overhead
Fulhame,ARM 20.0,4,STATIC,0.9606
Fulhame,ARM 20.0,4,STATIC 1,1.8792
Fulhame,ARM 20.0,4,STATIC 2,1.2304
Fulhame,ARM 20.0,4,STATIC 4,1.4143
Fulhame,ARM 20.0,4,STATIC 8,1.9786
Fulhame,ARM 20.0,4,STATIC 16,2.4173
Fulhame,ARM 20.0,4,STATIC 32,2.7290
Fulhame,ARM 20.0,4,STATIC 64,3.0855
Fulhame,ARM 20.0,4,STATIC 128,3.0503
Fulhame,ARM 20.0,4,DYNAMIC 1,135.0452
Fulhame,ARM 20.0,4,DYNAMIC 2,59.4415
Fulhame,ARM 20.0,4,DYNAMIC 4,27.3718
Fulhame,ARM 20.0,4,DYNAMIC 8,11.7227
Fulhame,ARM 20.0,4,DYNAMIC 16,7.8924
Fulhame,ARM 20.0,4,DYNAMIC 32,5.8385
Fulhame,ARM 20.0,4,DYNAMIC 64,4.6199
Fulhame,ARM 20.0,4,DYNAMIC 128,3.8983
Fulhame,ARM 20.0,4,GUIDED 1,11.3979
Fulhame,ARM 20.0,4,GUIDED 2,9.4267
Fulhame,ARM 20.0,4,GUIDED 4,7.5234
Fulhame,ARM 20.0,4,GUIDED 8,5.7426
Fulhame,ARM 20.0,4,GUIDED 16,5.0602
Fulhame,ARM 20.0,4,GUIDED 32,5.4697
