hardware_platform,compiler,threads_num,directive_name,overhead
Fulhame,GNU 10.1,32,STATIC,1.9078
Fulhame,GNU 10.1,32,STATIC 1,1.9214
Fulhame,GNU 10.1,32,STATIC 2,1.9915
Fulhame,GNU 10.1,32,STATIC 4,1.9285
Fulhame,GNU 10.1,32,STATIC 8,2.0011
Fulhame,GNU 10.1,32,STATIC 16,2.5311
Fulhame,GNU 10.1,32,STATIC 32,2.5926
Fulhame,GNU 10.1,32,STATIC 64,2.8012
Fulhame,GNU 10.1,32,STATIC 128,2.8126
Fulhame,GNU 10.1,32,DYNAMIC 1,247.7208
Fulhame,GNU 10.1,32,DYNAMIC 2,128.5917
Fulhame,GNU 10.1,32,DYNAMIC 4,43.5438
Fulhame,GNU 10.1,32,DYNAMIC 8,12.5786
Fulhame,GNU 10.1,32,DYNAMIC 16,6.4883
Fulhame,GNU 10.1,32,DYNAMIC 32,5.4075
Fulhame,GNU 10.1,32,DYNAMIC 64,4.7288
Fulhame,GNU 10.1,32,DYNAMIC 128,4.4243
Fulhame,GNU 10.1,32,GUIDED 1,86.8552
Fulhame,GNU 10.1,32,GUIDED 2,79.1383
Fulhame,GNU 10.1,32,GUIDED 4,67.5886
