hardware_platform,compiler,threads_num,directive_name,overhead,benchmark_class
ARCHER2,AOCC 2.1,1,STATIC,-0.1284,Sched
ARCHER2,AOCC 2.1,1,STATIC 1,0.0529,Sched
ARCHER2,AOCC 2.1,1,STATIC 2,0.0997,Sched
ARCHER2,AOCC 2.1,1,STATIC 4,0.0682,Sched
ARCHER2,AOCC 2.1,1,STATIC 8,0.0597,Sched
ARCHER2,AOCC 2.1,1,STATIC 16,0.0463,Sched
ARCHER2,AOCC 2.1,1,STATIC 32,0.0648,Sched
ARCHER2,AOCC 2.1,1,STATIC 64,0.1056,Sched
ARCHER2,AOCC 2.1,1,STATIC 128,0.0665,Sched
ARCHER2,AOCC 2.1,1,DYNAMIC 1,-0.0738,Sched
ARCHER2,AOCC 2.1,1,DYNAMIC 2,-0.0798,Sched
ARCHER2,AOCC 2.1,1,DYNAMIC 4,-0.0721,Sched
ARCHER2,AOCC 2.1,1,DYNAMIC 8,-0.0921,Sched
ARCHER2,AOCC 2.1,1,DYNAMIC 16,-0.0719,Sched
ARCHER2,AOCC 2.1,1,DYNAMIC 32,-0.0815,Sched
ARCHER2,AOCC 2.1,1,DYNAMIC 64,-0.0805,Sched
ARCHER2,AOCC 2.1,1,DYNAMIC 128,-0.0783,Sched
ARCHER2,AOCC 2.1,1,GUIDED 1,-0.084,Sched
ARCHER2,AOCC 2.1,1,GUIDED 2,-0.0907,Sched
ARCHER2,AOCC 2.1,1,GUIDED 4,-0.0788,Sched
ARCHER2,AOCC 2.1,1,GUIDED 8,-0.0931,Sched
ARCHER2,AOCC 2.1,1,GUIDED 16,-0.1069,Sched
ARCHER2,AOCC 2.1,1,GUIDED 32,-0.0855,Sched
ARCHER2,AOCC 2.1,1,GUIDED 64,-0.0917,Sched
ARCHER2,AOCC 2.1,1,GUIDED 128,-0.088,Sched
hardware_platform,compiler,threads_num,directive_name,overhead,Sched
ARCHER2,AOCC 2.1,128,STATIC,512.8727,Sched
ARCHER2,AOCC 2.1,128,STATIC 1,379.9718,Sched
ARCHER2,AOCC 2.1,128,STATIC 2,285.7821,Sched
ARCHER2,AOCC 2.1,128,STATIC 4,235.9869,Sched
ARCHER2,AOCC 2.1,128,STATIC 8,160.0676,Sched
ARCHER2,AOCC 2.1,128,STATIC 16,138.4443,Sched
ARCHER2,AOCC 2.1,128,STATIC 32,122.334,Sched
ARCHER2,AOCC 2.1,128,STATIC 64,107.4808,Sched
ARCHER2,AOCC 2.1,128,STATIC 128,77.6385,Sched
ARCHER2,AOCC 2.1,128,DYNAMIC 1,769.8121,Sched
ARCHER2,AOCC 2.1,128,DYNAMIC 2,282.9779,Sched
ARCHER2,AOCC 2.1,128,DYNAMIC 4,126.3124,Sched
ARCHER2,AOCC 2.1,128,DYNAMIC 8,70.1691,Sched
ARCHER2,AOCC 2.1,128,DYNAMIC 16,43.4936,Sched
ARCHER2,AOCC 2.1,128,DYNAMIC 32,35.6216,Sched
ARCHER2,AOCC 2.1,128,DYNAMIC 64,35.3588,Sched
ARCHER2,AOCC 2.1,128,DYNAMIC 128,25.4148,Sched
ARCHER2,AOCC 2.1,128,GUIDED 1,98.9536,Sched
hardware_platform,compiler,threads_num,directive_name,overhead,Sched
ARCHER2,AOCC 2.1,16,STATIC,64.3864,Sched
ARCHER2,AOCC 2.1,16,STATIC 1,59.4427,Sched
ARCHER2,AOCC 2.1,16,STATIC 2,60.3658,Sched
ARCHER2,AOCC 2.1,16,STATIC 4,62.4279,Sched
ARCHER2,AOCC 2.1,16,STATIC 8,52.1772,Sched
ARCHER2,AOCC 2.1,16,STATIC 16,52.1192,Sched
ARCHER2,AOCC 2.1,16,STATIC 32,40.0566,Sched
ARCHER2,AOCC 2.1,16,STATIC 64,31.6267,Sched
ARCHER2,AOCC 2.1,16,STATIC 128,11.0153,Sched
ARCHER2,AOCC 2.1,16,DYNAMIC 1,130.7543,Sched
ARCHER2,AOCC 2.1,16,DYNAMIC 2,60.5373,Sched
ARCHER2,AOCC 2.1,16,DYNAMIC 4,29.8872,Sched
ARCHER2,AOCC 2.1,16,DYNAMIC 8,7.8051,Sched
ARCHER2,AOCC 2.1,16,DYNAMIC 16,-4.2996,Sched
ARCHER2,AOCC 2.1,16,DYNAMIC 32,-5.565,Sched
ARCHER2,AOCC 2.1,16,DYNAMIC 64,-5.629,Sched
ARCHER2,AOCC 2.1,16,DYNAMIC 128,-5.8952,Sched
ARCHER2,AOCC 2.1,16,GUIDED 1,10.8114,Sched
ARCHER2,AOCC 2.1,16,GUIDED 2,7.0357,Sched
ARCHER2,AOCC 2.1,16,GUIDED 4,3.8902,Sched
ARCHER2,AOCC 2.1,16,GUIDED 8,0.9373,Sched
hardware_platform,compiler,threads_num,directive_name,overhead,Sched
ARCHER2,AOCC 2.1,2,STATIC,-0.0081,Sched
