hardware_platform,compiler,threads_num,directive_name,overhead,benchmark_class
ARCHER2,AOCC 2.1,1,PARALLEL,0.1124,Sync
ARCHER2,AOCC 2.1,1,FOR,0.0362,Sync
ARCHER2,AOCC 2.1,1,PARALLEL FOR,0.1273,Sync
ARCHER2,AOCC 2.1,1,BARRIER,0.0142,Sync
ARCHER2,AOCC 2.1,1,SINGLE,0.0345,Sync
ARCHER2,AOCC 2.1,1,CRITICAL,0.0351,Sync
ARCHER2,AOCC 2.1,1,LOCK/UNLOCK,0.0432,Sync
ARCHER2,AOCC 2.1,1,ORDERED,0.0334,Sync
ARCHER2,AOCC 2.1,1,ATOMIC,0.0059,Sync
ARCHER2,AOCC 2.1,1,REDUCTION,0.1343,Sync
hardware_platform,compiler,threads_num,directive_name,overhead,Sync
ARCHER2,AOCC 2.1,128,PARALLEL,443.4351,Sync
ARCHER2,AOCC 2.1,128,FOR,298.8069,Sync
ARCHER2,AOCC 2.1,128,PARALLEL FOR,245.4352,Sync
ARCHER2,AOCC 2.1,128,BARRIER,212.9632,Sync
ARCHER2,AOCC 2.1,128,SINGLE,183.5808,Sync
ARCHER2,AOCC 2.1,128,CRITICAL,2.0818,Sync
ARCHER2,AOCC 2.1,128,LOCK/UNLOCK,1.5277,Sync
ARCHER2,AOCC 2.1,128,ORDERED,1.8531,Sync
ARCHER2,AOCC 2.1,128,ATOMIC,0.2998,Sync
ARCHER2,AOCC 2.1,128,REDUCTION,111.7828,Sync
hardware_platform,compiler,threads_num,directive_name,overhead,Sync
ARCHER2,AOCC 2.1,16,PARALLEL,48.3362,Sync
ARCHER2,AOCC 2.1,16,FOR,58.3734,Sync
ARCHER2,AOCC 2.1,16,PARALLEL FOR,51.6561,Sync
ARCHER2,AOCC 2.1,16,BARRIER,53.8961,Sync
ARCHER2,AOCC 2.1,16,SINGLE,52.7587,Sync
ARCHER2,AOCC 2.1,16,CRITICAL,0.2545,Sync
ARCHER2,AOCC 2.1,16,LOCK/UNLOCK,0.2663,Sync
ARCHER2,AOCC 2.1,16,ORDERED,1.1959,Sync
ARCHER2,AOCC 2.1,16,ATOMIC,0.0332,Sync
ARCHER2,AOCC 2.1,16,REDUCTION,4.3397,Sync
hardware_platform,compiler,threads_num,directive_name,overhead,Sync
ARCHER2,AOCC 2.1,2,PARALLEL,0.3575,Sync
ARCHER2,AOCC 2.1,2,FOR,0.1528,Sync
ARCHER2,AOCC 2.1,2,PARALLEL FOR,0.3928,Sync
ARCHER2,AOCC 2.1,2,BARRIER,0.1147,Sync
ARCHER2,AOCC 2.1,2,SINGLE,0.1119,Sync
ARCHER2,AOCC 2.1,2,CRITICAL,0.0684,Sync
ARCHER2,AOCC 2.1,2,LOCK/UNLOCK,0.0805,Sync
ARCHER2,AOCC 2.1,2,ORDERED,0.0425,Sync
ARCHER2,AOCC 2.1,2,ATOMIC,0.0165,Sync
ARCHER2,AOCC 2.1,2,REDUCTION,1.0116,Sync
hardware_platform,compiler,threads_num,directive_name,overhead,Sync
ARCHER2,AOCC 2.1,32,PARALLEL,161.973,Sync
ARCHER2,AOCC 2.1,32,FOR,167.9339,Sync
ARCHER2,AOCC 2.1,32,PARALLEL FOR,155.1306,Sync
ARCHER2,AOCC 2.1,32,BARRIER,120.3441,Sync
ARCHER2,AOCC 2.1,32,SINGLE,111.1475,Sync
ARCHER2,AOCC 2.1,32,CRITICAL,0.4538,Sync
ARCHER2,AOCC 2.1,32,LOCK/UNLOCK,0.4566,Sync
ARCHER2,AOCC 2.1,32,ORDERED,1.235,Sync
ARCHER2,AOCC 2.1,32,ATOMIC,0.0466,Sync
ARCHER2,AOCC 2.1,32,REDUCTION,10.4081,Sync
hardware_platform,compiler,threads_num,directive_name,overhead,Sync
ARCHER2,AOCC 2.1,4,PARALLEL,0.3999,Sync
ARCHER2,AOCC 2.1,4,FOR,0.1697,Sync
ARCHER2,AOCC 2.1,4,PARALLEL FOR,0.4314,Sync
ARCHER2,AOCC 2.1,4,BARRIER,0.1449,Sync
ARCHER2,AOCC 2.1,4,SINGLE,0.1641,Sync
ARCHER2,AOCC 2.1,4,CRITICAL,0.0946,Sync
ARCHER2,AOCC 2.1,4,LOCK/UNLOCK,0.106,Sync
ARCHER2,AOCC 2.1,4,ORDERED,0.0773,Sync
ARCHER2,AOCC 2.1,4,ATOMIC,0.028,Sync
ARCHER2,AOCC 2.1,4,REDUCTION,1.2353,Sync
hardware_platform,compiler,threads_num,directive_name,overhead,Sync
ARCHER2,AOCC 2.1,64,PARALLEL,293.4497,Sync
ARCHER2,AOCC 2.1,64,FOR,275.0431,Sync
ARCHER2,AOCC 2.1,64,PARALLEL FOR,213.5587,Sync
ARCHER2,AOCC 2.1,64,BARRIER,143.973,Sync
ARCHER2,AOCC 2.1,64,SINGLE,130.8556,Sync
ARCHER2,AOCC 2.1,64,CRITICAL,1.7414,Sync
ARCHER2,AOCC 2.1,64,LOCK/UNLOCK,1.5162,Sync
ARCHER2,AOCC 2.1,64,ORDERED,2.457,Sync
ARCHER2,AOCC 2.1,64,ATOMIC,0.0594,Sync
ARCHER2,AOCC 2.1,64,REDUCTION,24.6203,Sync
hardware_platform,compiler,threads_num,directive_name,overhead,Sync
ARCHER2,AOCC 2.1,8,PARALLEL,0.8815,Sync
ARCHER2,AOCC 2.1,8,FOR,0.4866,Sync
ARCHER2,AOCC 2.1,8,PARALLEL FOR,0.9135,Sync
ARCHER2,AOCC 2.1,8,BARRIER,0.4568,Sync
ARCHER2,AOCC 2.1,8,SINGLE,0.4843,Sync
ARCHER2,AOCC 2.1,8,CRITICAL,0.1458,Sync
ARCHER2,AOCC 2.1,8,LOCK/UNLOCK,0.1795,Sync
ARCHER2,AOCC 2.1,8,ORDERED,0.2533,Sync
ARCHER2,AOCC 2.1,8,ATOMIC,0.0264,Sync
ARCHER2,AOCC 2.1,8,REDUCTION,3.4679,Sync
hardware_platform,compiler,threads_num,directive_name,overhead,Sync
ARCHER2,Cray 10.0,1,PARALLEL,0.0978,Sync
ARCHER2,Cray 10.0,1,FOR,0.0398,Sync
ARCHER2,Cray 10.0,1,PARALLEL FOR,0.1118,Sync
ARCHER2,Cray 10.0,1,BARRIER,0.0023,Sync
ARCHER2,Cray 10.0,1,SINGLE,0.0077,Sync
ARCHER2,Cray 10.0,1,CRITICAL,0.0037,Sync
ARCHER2,Cray 10.0,1,LOCK/UNLOCK,0.0049,Sync
ARCHER2,Cray 10.0,1,ORDERED,0.0362,Sync
ARCHER2,Cray 10.0,1,ATOMIC,0.0059,Sync
ARCHER2,Cray 10.0,1,REDUCTION,0.1781,Sync
hardware_platform,compiler,threads_num,directive_name,overhead,Sync
ARCHER2,Cray 10.0,128,PARALLEL,219.8768,Sync
ARCHER2,Cray 10.0,128,FOR,3.7023,Sync
ARCHER2,Cray 10.0,128,PARALLEL FOR,216.7075,Sync
ARCHER2,Cray 10.0,128,BARRIER,3.5738,Sync
ARCHER2,Cray 10.0,128,SINGLE,3.1885,Sync
ARCHER2,Cray 10.0,128,CRITICAL,0.1379,Sync
ARCHER2,Cray 10.0,128,LOCK/UNLOCK,0.1292,Sync
ARCHER2,Cray 10.0,128,ORDERED,0.4467,Sync
ARCHER2,Cray 10.0,128,ATOMIC,0.0599,Sync
ARCHER2,Cray 10.0,128,REDUCTION,181.684,Sync
hardware_platform,compiler,threads_num,directive_name,overhead,Sync
ARCHER2,Cray 10.0,16,PARALLEL,2.5574,Sync
