hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,AOCC 2.1,128,PARALLEL TASK,60.5040
ARCHER2,AOCC 2.1,128,MASTER TASK,845.6616
ARCHER2,AOCC 2.1,128,MASTER TASK BUSY SLAVES,42.6706
ARCHER2,AOCC 2.1,128,CONDITIONAL TASK,0.8496
ARCHER2,AOCC 2.1,128,TASK WAIT,34.5242
ARCHER2,AOCC 2.1,128,TASK BARRIER,727.4611
ARCHER2,AOCC 2.1,128,NESTED TASK,3.8275
ARCHER2,AOCC 2.1,128,NESTED MASTER TASK,40.4460
ARCHER2,AOCC 2.1,128,BRANCH TASK TREE,1.7461
ARCHER2,AOCC 2.1,128,LEAF TASK TREE,0.9835
