hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,Cray 10.0,128,PARALLEL TASK,10.3187
ARCHER2,Cray 10.0,128,MASTER TASK,140.2449
ARCHER2,Cray 10.0,128,MASTER TASK BUSY SLAVES,0.9075
ARCHER2,Cray 10.0,128,CONDITIONAL TASK,0.1024
ARCHER2,Cray 10.0,128,TASK WAIT,8.3284
ARCHER2,Cray 10.0,128,TASK BARRIER,19.6565
ARCHER2,Cray 10.0,128,NESTED TASK,1.5397
ARCHER2,Cray 10.0,128,NESTED MASTER TASK,21.7632
ARCHER2,Cray 10.0,128,BRANCH TASK TREE,8.4882
ARCHER2,Cray 10.0,128,LEAF TASK TREE,8.3565
