hardware_platform,compiler,threads_num,directive_name,overhead
ARCHER2,GNU 10.1,128,PARALLEL TASK,581.0347
ARCHER2,GNU 10.1,128,MASTER TASK,489.2289
ARCHER2,GNU 10.1,128,MASTER TASK BUSY SLAVES,4.6413
ARCHER2,GNU 10.1,128,CONDITIONAL TASK,0.0572
ARCHER2,GNU 10.1,128,TASK WAIT,736.5115
ARCHER2,GNU 10.1,128,TASK BARRIER,940.9204
ARCHER2,GNU 10.1,128,NESTED TASK,216.7292
ARCHER2,GNU 10.1,128,NESTED MASTER TASK,442.3934
ARCHER2,GNU 10.1,128,BRANCH TASK TREE,166.2940
ARCHER2,GNU 10.1,128,LEAF TASK TREE,164.1527
