hardware_platform,compiler,threads_num,directive_name,overhead
Fulhame,GNU 10.1,32,PARALLEL TASK,578.3867
Fulhame,GNU 10.1,32,MASTER TASK,949.1852
Fulhame,GNU 10.1,32,MASTER TASK BUSY SLAVES,25.9452
Fulhame,GNU 10.1,32,CONDITIONAL TASK,0.0491
Fulhame,GNU 10.1,32,TASK WAIT,826.6015
Fulhame,GNU 10.1,32,TASK BARRIER,793.6017
Fulhame,GNU 10.1,32,NESTED TASK,210.7135
Fulhame,GNU 10.1,32,NESTED MASTER TASK,445.9436
Fulhame,GNU 10.1,32,BRANCH TASK TREE,148.0594
Fulhame,GNU 10.1,32,LEAF TASK TREE,156.0868
