hardware_platform,compiler,threads_num,directive_name,overhead,benchmark_class
ARCHER2,AOCC 2.1,1,PARALLEL TASK,0.0594,Task
ARCHER2,AOCC 2.1,1,MASTER TASK,0.0593,Task
ARCHER2,AOCC 2.1,1,MASTER TASK BUSY SLAVES,0.0594,Task
ARCHER2,AOCC 2.1,1,CONDITIONAL TASK,0.0444,Task
ARCHER2,AOCC 2.1,1,TASK WAIT,0.0621,Task
ARCHER2,AOCC 2.1,1,TASK BARRIER,0.0667,Task
ARCHER2,AOCC 2.1,1,NESTED TASK,0.1285,Task
ARCHER2,AOCC 2.1,1,NESTED MASTER TASK,0.1057,Task
ARCHER2,AOCC 2.1,1,BRANCH TASK TREE,0.0654,Task
ARCHER2,AOCC 2.1,1,LEAF TASK TREE,0.0603,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
ARCHER2,AOCC 2.1,128,PARALLEL TASK,60.504,Task
ARCHER2,AOCC 2.1,128,MASTER TASK,845.6616,Task
ARCHER2,AOCC 2.1,128,MASTER TASK BUSY SLAVES,42.6706,Task
ARCHER2,AOCC 2.1,128,CONDITIONAL TASK,0.8496,Task
ARCHER2,AOCC 2.1,128,TASK WAIT,34.5242,Task
ARCHER2,AOCC 2.1,128,TASK BARRIER,727.4611,Task
ARCHER2,AOCC 2.1,128,NESTED TASK,3.8275,Task
ARCHER2,AOCC 2.1,128,NESTED MASTER TASK,40.446,Task
ARCHER2,AOCC 2.1,128,BRANCH TASK TREE,1.7461,Task
ARCHER2,AOCC 2.1,128,LEAF TASK TREE,0.9835,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
ARCHER2,AOCC 2.1,16,PARALLEL TASK,3.0522,Task
ARCHER2,AOCC 2.1,16,MASTER TASK,23.039,Task
ARCHER2,AOCC 2.1,16,MASTER TASK BUSY SLAVES,0.7059,Task
ARCHER2,AOCC 2.1,16,CONDITIONAL TASK,0.1384,Task
ARCHER2,AOCC 2.1,16,TASK WAIT,0.3237,Task
ARCHER2,AOCC 2.1,16,TASK BARRIER,16.2448,Task
ARCHER2,AOCC 2.1,16,NESTED TASK,0.6723,Task
ARCHER2,AOCC 2.1,16,NESTED MASTER TASK,1.0225,Task
ARCHER2,AOCC 2.1,16,BRANCH TASK TREE,0.3582,Task
ARCHER2,AOCC 2.1,16,LEAF TASK TREE,0.3329,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
ARCHER2,AOCC 2.1,2,PARALLEL TASK,0.0795,Task
ARCHER2,AOCC 2.1,2,MASTER TASK,0.2166,Task
ARCHER2,AOCC 2.1,2,MASTER TASK BUSY SLAVES,0.0698,Task
ARCHER2,AOCC 2.1,2,CONDITIONAL TASK,0.0575,Task
ARCHER2,AOCC 2.1,2,TASK WAIT,0.146,Task
ARCHER2,AOCC 2.1,2,TASK BARRIER,0.7054,Task
ARCHER2,AOCC 2.1,2,NESTED TASK,0.1662,Task
ARCHER2,AOCC 2.1,2,NESTED MASTER TASK,0.3104,Task
ARCHER2,AOCC 2.1,2,BRANCH TASK TREE,0.3252,Task
ARCHER2,AOCC 2.1,2,LEAF TASK TREE,0.3166,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
ARCHER2,AOCC 2.1,32,PARALLEL TASK,16.781,Task
ARCHER2,AOCC 2.1,32,MASTER TASK,72.5064,Task
ARCHER2,AOCC 2.1,32,MASTER TASK BUSY SLAVES,0.938,Task
ARCHER2,AOCC 2.1,32,CONDITIONAL TASK,0.4721,Task
ARCHER2,AOCC 2.1,32,TASK WAIT,2.1807,Task
ARCHER2,AOCC 2.1,32,TASK BARRIER,228.4175,Task
ARCHER2,AOCC 2.1,32,NESTED TASK,0.9238,Task
ARCHER2,AOCC 2.1,32,NESTED MASTER TASK,1.1743,Task
ARCHER2,AOCC 2.1,32,BRANCH TASK TREE,0.3974,Task
ARCHER2,AOCC 2.1,32,LEAF TASK TREE,0.3845,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
ARCHER2,AOCC 2.1,4,PARALLEL TASK,0.079,Task
ARCHER2,AOCC 2.1,4,MASTER TASK,1.4554,Task
ARCHER2,AOCC 2.1,4,MASTER TASK BUSY SLAVES,0.1567,Task
ARCHER2,AOCC 2.1,4,CONDITIONAL TASK,0.0581,Task
ARCHER2,AOCC 2.1,4,TASK WAIT,0.1453,Task
ARCHER2,AOCC 2.1,4,TASK BARRIER,1.0975,Task
ARCHER2,AOCC 2.1,4,NESTED TASK,0.2252,Task
ARCHER2,AOCC 2.1,4,NESTED MASTER TASK,0.3228,Task
ARCHER2,AOCC 2.1,4,BRANCH TASK TREE,0.3289,Task
ARCHER2,AOCC 2.1,4,LEAF TASK TREE,0.3208,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
ARCHER2,AOCC 2.1,64,PARALLEL TASK,37.9233,Task
ARCHER2,AOCC 2.1,64,MASTER TASK,171.264,Task
ARCHER2,AOCC 2.1,64,MASTER TASK BUSY SLAVES,23.2204,Task
ARCHER2,AOCC 2.1,64,CONDITIONAL TASK,0.6065,Task
ARCHER2,AOCC 2.1,64,TASK WAIT,6.7735,Task
ARCHER2,AOCC 2.1,64,TASK BARRIER,441.6429,Task
ARCHER2,AOCC 2.1,64,NESTED TASK,1.0496,Task
ARCHER2,AOCC 2.1,64,NESTED MASTER TASK,1.7483,Task
ARCHER2,AOCC 2.1,64,BRANCH TASK TREE,0.8611,Task
ARCHER2,AOCC 2.1,64,LEAF TASK TREE,0.5049,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
ARCHER2,AOCC 2.1,8,PARALLEL TASK,0.1171,Task
ARCHER2,AOCC 2.1,8,MASTER TASK,6.6936,Task
ARCHER2,AOCC 2.1,8,MASTER TASK BUSY SLAVES,0.3702,Task
ARCHER2,AOCC 2.1,8,CONDITIONAL TASK,0.0719,Task
ARCHER2,AOCC 2.1,8,TASK WAIT,0.1972,Task
ARCHER2,AOCC 2.1,8,TASK BARRIER,2.2939,Task
ARCHER2,AOCC 2.1,8,NESTED TASK,0.6239,Task
ARCHER2,AOCC 2.1,8,NESTED MASTER TASK,0.4775,Task
ARCHER2,AOCC 2.1,8,BRANCH TASK TREE,0.3903,Task
ARCHER2,AOCC 2.1,8,LEAF TASK TREE,0.3395,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
ARCHER2,Cray 10.0,1,PARALLEL TASK,0.0562,Task
ARCHER2,Cray 10.0,1,MASTER TASK,0.0559,Task
ARCHER2,Cray 10.0,1,MASTER TASK BUSY SLAVES,0.0559,Task
ARCHER2,Cray 10.0,1,CONDITIONAL TASK,0.0536,Task
ARCHER2,Cray 10.0,1,TASK WAIT,0.061,Task
ARCHER2,Cray 10.0,1,TASK BARRIER,0.0594,Task
ARCHER2,Cray 10.0,1,NESTED TASK,0.1054,Task
ARCHER2,Cray 10.0,1,NESTED MASTER TASK,0.1027,Task
ARCHER2,Cray 10.0,1,BRANCH TASK TREE,0.0602,Task
ARCHER2,Cray 10.0,1,LEAF TASK TREE,0.0537,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
ARCHER2,Cray 10.0,128,PARALLEL TASK,10.3187,Task
ARCHER2,Cray 10.0,128,MASTER TASK,140.2449,Task
ARCHER2,Cray 10.0,128,MASTER TASK BUSY SLAVES,0.9075,Task
ARCHER2,Cray 10.0,128,CONDITIONAL TASK,0.1024,Task
ARCHER2,Cray 10.0,128,TASK WAIT,8.3284,Task
ARCHER2,Cray 10.0,128,TASK BARRIER,19.6565,Task
ARCHER2,Cray 10.0,128,NESTED TASK,1.5397,Task
ARCHER2,Cray 10.0,128,NESTED MASTER TASK,21.7632,Task
ARCHER2,Cray 10.0,128,BRANCH TASK TREE,8.4882,Task
ARCHER2,Cray 10.0,128,LEAF TASK TREE,8.3565,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
ARCHER2,Cray 10.0,16,PARALLEL TASK,3.2625,Task
ARCHER2,Cray 10.0,16,MASTER TASK,18.4493,Task
ARCHER2,Cray 10.0,16,MASTER TASK BUSY SLAVES,0.7734,Task
ARCHER2,Cray 10.0,16,CONDITIONAL TASK,0.0594,Task
ARCHER2,Cray 10.0,16,TASK WAIT,2.0511,Task
ARCHER2,Cray 10.0,16,TASK BARRIER,5.5515,Task
ARCHER2,Cray 10.0,16,NESTED TASK,3.2557,Task
ARCHER2,Cray 10.0,16,NESTED MASTER TASK,6.7438,Task
ARCHER2,Cray 10.0,16,BRANCH TASK TREE,3.3383,Task
ARCHER2,Cray 10.0,16,LEAF TASK TREE,3.2985,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
ARCHER2,Cray 10.0,2,PARALLEL TASK,0.0736,Task
ARCHER2,Cray 10.0,2,MASTER TASK,0.8192,Task
ARCHER2,Cray 10.0,2,MASTER TASK BUSY SLAVES,0.1729,Task
ARCHER2,Cray 10.0,2,CONDITIONAL TASK,0.0577,Task
ARCHER2,Cray 10.0,2,TASK WAIT,0.211,Task
ARCHER2,Cray 10.0,2,TASK BARRIER,0.618,Task
ARCHER2,Cray 10.0,2,NESTED TASK,0.1208,Task
ARCHER2,Cray 10.0,2,NESTED MASTER TASK,0.6593,Task
ARCHER2,Cray 10.0,2,BRANCH TASK TREE,0.3362,Task
ARCHER2,Cray 10.0,2,LEAF TASK TREE,0.3394,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
ARCHER2,Cray 10.0,32,PARALLEL TASK,3.9123,Task
ARCHER2,Cray 10.0,32,MASTER TASK,37.5983,Task
ARCHER2,Cray 10.0,32,MASTER TASK BUSY SLAVES,0.9,Task
ARCHER2,Cray 10.0,32,CONDITIONAL TASK,0.0602,Task
ARCHER2,Cray 10.0,32,TASK WAIT,4.0234,Task
ARCHER2,Cray 10.0,32,TASK BARRIER,7.8834,Task
ARCHER2,Cray 10.0,32,NESTED TASK,3.0863,Task
ARCHER2,Cray 10.0,32,NESTED MASTER TASK,8.1742,Task
ARCHER2,Cray 10.0,32,BRANCH TASK TREE,4.0426,Task
ARCHER2,Cray 10.0,32,LEAF TASK TREE,4.0031,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
ARCHER2,Cray 10.0,4,PARALLEL TASK,0.0812,Task
ARCHER2,Cray 10.0,4,MASTER TASK,3.4382,Task
ARCHER2,Cray 10.0,4,MASTER TASK BUSY SLAVES,0.5078,Task
ARCHER2,Cray 10.0,4,CONDITIONAL TASK,0.0581,Task
ARCHER2,Cray 10.0,4,TASK WAIT,0.5635,Task
ARCHER2,Cray 10.0,4,TASK BARRIER,1.0745,Task
ARCHER2,Cray 10.0,4,NESTED TASK,0.4231,Task
ARCHER2,Cray 10.0,4,NESTED MASTER TASK,1.5045,Task
ARCHER2,Cray 10.0,4,BRANCH TASK TREE,0.7897,Task
ARCHER2,Cray 10.0,4,LEAF TASK TREE,0.7846,Task
hardware_platform,compiler,threads_num,directive_name,overhead,Task
ARCHER2,Cray 10.0,64,PARALLEL TASK,6.1723,Task
ARCHER2,Cray 10.0,64,MASTER TASK,75.4387,Task
ARCHER2,Cray 10.0,64,MASTER TASK BUSY SLAVES,0.9379,Task
ARCHER2,Cray 10.0,64,CONDITIONAL TASK,0.0505,Task
ARCHER2,Cray 10.0,64,TASK WAIT,6.6699,Task
ARCHER2,Cray 10.0,64,TASK BARRIER,14.1588,Task
ARCHER2,Cray 10.0,64,NESTED TASK,2.1347,Task
ARCHER2,Cray 10.0,64,NESTED MASTER TASK,12.3958,Task
ARCHER2,Cray 10.0,64,BRANCH TASK TREE,6.2378,Task
ARCHER2,Cray 10.0,64,LEAF TASK TREE,5.7092,Task
