hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,Intel_20.4,16,STATIC,10.2089
Cirrus,Intel_20.4,16,STATIC 1,5.1809
Cirrus,Intel_20.4,16,STATIC 2,1.6550
Cirrus,Intel_20.4,16,STATIC 4,0.5449
Cirrus,Intel_20.4,16,STATIC 8,0.5851
Cirrus,Intel_20.4,16,STATIC 16,0.5480
Cirrus,Intel_20.4,16,STATIC 32,0.6882
Cirrus,Intel_20.4,16,STATIC 64,0.8702
Cirrus,Intel_20.4,16,STATIC 128,0.8730
Cirrus,Intel_20.4,16,DYNAMIC 1,128.3066
Cirrus,Intel_20.4,16,DYNAMIC 2,49.7339
Cirrus,Intel_20.4,16,DYNAMIC 4,17.5648
Cirrus,Intel_20.4,16,DYNAMIC 8,4.6780
Cirrus,Intel_20.4,16,DYNAMIC 16,3.1479
Cirrus,Intel_20.4,16,DYNAMIC 32,2.5950
Cirrus,Intel_20.4,16,DYNAMIC 64,2.1851
Cirrus,Intel_20.4,16,DYNAMIC 128,1.9681
Cirrus,Intel_20.4,16,GUIDED 1,21.4600
Cirrus,Intel_20.4,16,GUIDED 2,17.2352
Cirrus,Intel_20.4,16,GUIDED 4,13.0343
Cirrus,Intel_20.4,16,GUIDED 8,8.5524
