hardware_platform,compiler,threads_num,directive_name,overhead
Cirrus,Intel_20.4,32,STATIC,12.9338
Cirrus,Intel_20.4,32,STATIC 1,13.0875
Cirrus,Intel_20.4,32,STATIC 2,13.0359
Cirrus,Intel_20.4,32,STATIC 4,13.1126
Cirrus,Intel_20.4,32,STATIC 8,13.0356
Cirrus,Intel_20.4,32,STATIC 16,13.0171
Cirrus,Intel_20.4,32,STATIC 32,13.1174
Cirrus,Intel_20.4,32,STATIC 64,13.1407
Cirrus,Intel_20.4,32,STATIC 128,13.2340
Cirrus,Intel_20.4,32,DYNAMIC 1,192.4618
Cirrus,Intel_20.4,32,DYNAMIC 2,74.4460
Cirrus,Intel_20.4,32,DYNAMIC 4,31.3414
Cirrus,Intel_20.4,32,DYNAMIC 8,13.8258
Cirrus,Intel_20.4,32,DYNAMIC 16,11.7279
Cirrus,Intel_20.4,32,DYNAMIC 32,12.8600
Cirrus,Intel_20.4,32,DYNAMIC 64,14.4248
Cirrus,Intel_20.4,32,DYNAMIC 128,14.8325
Cirrus,Intel_20.4,32,GUIDED 1,44.7954
Cirrus,Intel_20.4,32,GUIDED 2,37.6126
Cirrus,Intel_20.4,32,GUIDED 4,29.9700
